DISTRICT,BLOCK,VILLAGE,AGENCY,NSL (Metres),SITE_NO,WELL / P.TUBE / DEEP-TUBE/     MGWOW,JUNE_1998,OCT_1998,JUNE_1999,OCT_1999,JUNE_2000,OCT_2000,JUNE_2001,OCT_2001,JUNE_2002,OCT_2002,JUNE_2003,OCT_2003,JUNE_2004,OCT_2004,JUNE_2005,OCT_2005,JUNE_2006,OCT_2006,JUNE_2007,OCT_2007,JUNE_2008,OCT_2008,JUNE_2009,OCT_2009,JUNE_2010,OCT_2010,JUNE_2011,OCT_2011,Long_Final,Lat_Final
AMRITSAR,AJNALA,RAMDAS,AGRI.,0,1,WELL,5.36,4.66,6.01,6.56,7.81,6.63,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,76.83,30.37
AMRITSAR,AJNALA,AJNALA,AGRI.,0,5.3,WELL,0,0,0,0,0,0,0,0,10.21,10.38,10.48,10.18,10.43,10.83,10.88,10.98,11.18,10.85,11.33,10.93,10.58,10.38,10.5,11.48,11.83,12.63,12.48,12.68,76.65,30.28
AMRITSAR,AJNALA,GAGGO MAHAL,AGRI.,229.95,6,WELL,4.69,2.79,4.59,5.76,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,76.77,30.3
AMRITSAR,AJNALA,AWAN,AGRI.,0,11,WELL,0,0,0,0,0,0,0,0,7.26,5.93,7.04,5.66,6.46,5.76,0,0,,,,,,,,,,,,,76.77,30.3
AMRITSAR,AJNALA,MAKHOWAL,AGRI.,0,109,WELL,7.82,7.4,8.65,8,9.55,7.52,9.62,8.29,0,0,0,0,0,0,0,0,,,,,,,,,,,,,76.9,30.32
AMRITSAR,AJNALA,THERRI,AGRI.,,111,,,,,,,,,,7.26,5.93,7.04,5.66,6.46,5.76,0,0,,,,,,,,,,,,,76.9,30.32
AMRITSAR,AJNALA,RAIPUR KALAN,AGRI.,0,113,WELL,4.43,3.55,4.9,4.75,5.65,4.6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,76.88,30.38
AMRITSAR,AJNALA,RAMDAS,AGRI.,0,1-A,WELL,0,0,0,0,0,0,7.2,6.1,6.82,6.29,6.94,6.12,6.44,6.37,6.97,6.19,7.11,6.82,7.15,6.97,7.02,6.33,6.75,6.97,7.56,0,0,,76.77,30.43
AMRITSAR,AJNALA,WACHHOYA,WRD.,229.43,72,MGWOW,,,,,,,,,,,,,,,,,,,,,,,,,9.55,9.32,9.8,8.21,76.85,30.27
AMRITSAR,AJNALA,BHAGO PURA,WRD.,223.7,P-1344,PZ.,,,,0,10.14,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0
